ZIP Code,County,SCAN Affirm,SCAN Inspired,SAN Allied,SCAN Strive ,SCAN Balance 
90411,Los Angeles,Yes,Yes,Yes,Yes,Yes
90501,Los Angeles,Yes,Yes,Yes,Yes,Yes
90502,Los Angeles,Yes,Yes,Yes,Yes,Yes
90503,Los Angeles,Yes,Yes,Yes,Yes,Yes
90504,Los Angeles,Yes,Yes,Yes,Yes,Yes
90505,Los Angeles,Yes,Yes,Yes,Yes,Yes
90506,Los Angeles,Yes,Yes,Yes,Yes,Yes
90507,Los Angeles,Yes,Yes,Yes,Yes,Yes
90508,Los Angeles,Yes,Yes,Yes,Yes,Yes
90509,Los Angeles,Yes,Yes,Yes,Yes,Yes
90510,Los Angeles,Yes,Yes,Yes,Yes,Yes
90601,Los Angeles,Yes,Yes,Yes,Yes,Yes
90602,Los Angeles,Yes,Yes,Yes,Yes,Yes
90603,Los Angeles,Yes,Yes,Yes,Yes,Yes
90604,Los Angeles,Yes,Yes,Yes,Yes,Yes
90605,Los Angeles,Yes,Yes,Yes,Yes,Yes
90606,Los Angeles,Yes,Yes,Yes,Yes,Yes
90607,Los Angeles,Yes,Yes,Yes,Yes,Yes
90608,Los Angeles,Yes,Yes,Yes,Yes,Yes
90609,Los Angeles,Yes,Yes,Yes,Yes,Yes
90610,Los Angeles,Yes,Yes,Yes,Yes,Yes
90612,Los Angeles,Yes,Yes,Yes,Yes,Yes
90637,Los Angeles,Yes,Yes,Yes,Yes,Yes
90638,Los Angeles,Yes,Yes,Yes,Yes,Yes
90639,Los Angeles,Yes,Yes,Yes,Yes,Yes
90640,Los Angeles,Yes,Yes,Yes,Yes,Yes
90650,Los Angeles,Yes,Yes,Yes,Yes,Yes
90651,Los Angeles,Yes,Yes,Yes,Yes,Yes
90652,Los Angeles,Yes,Yes,Yes,Yes,Yes
90659,Los Angeles,Yes,Yes,Yes,Yes,Yes
90660,Los Angeles,Yes,Yes,Yes,Yes,Yes
90661,Los Angeles,Yes,Yes,Yes,Yes,Yes
90662,Los Angeles,Yes,Yes,Yes,Yes,Yes
90670,Los Angeles,Yes,Yes,Yes,Yes,Yes
90671,Los Angeles,Yes,Yes,Yes,Yes,Yes
90701,Los Angeles,Yes,Yes,Yes,Yes,Yes
90702,Los Angeles,Yes,Yes,Yes,Yes,Yes
90703,Los Angeles,Yes,Yes,Yes,Yes,Yes
90704,Los Angeles,Yes,Yes,Yes,Yes,Yes
90706,Los Angeles,Yes,Yes,Yes,Yes,Yes
90707,Los Angeles,Yes,Yes,Yes,Yes,Yes
90710,Los Angeles,Yes,Yes,Yes,Yes,Yes
90711,Los Angeles,Yes,Yes,Yes,Yes,Yes
90712,Los Angeles,Yes,Yes,Yes,Yes,Yes
90713,Los Angeles,Yes,Yes,Yes,Yes,Yes
90714,Los Angeles,Yes,Yes,Yes,Yes,Yes
90715,Los Angeles,Yes,Yes,Yes,Yes,Yes
90716,Los Angeles,Yes,Yes,Yes,Yes,Yes
90717,Los Angeles,Yes,Yes,Yes,Yes,Yes
90723,Los Angeles,Yes,Yes,Yes,Yes,Yes
90731,Los Angeles,Yes,Yes,Yes,Yes,Yes
